px,py,pz,ox,oy,oz,ow,vx,vy,vz,goal_status
-3.71E-06,14.999934,0.24000028,-0.70703286,-0.0014060427,-0.0014060703,0.70717794,-8.73E-05,0.0039238064,0.0005172155,initial position
-3.75E-06,14.999896,0.24000031,-0.70703304,-0.0014060094,-0.0014060484,0.70717776,-3.77E-05,-0.003935593,0.0005278518,initial position
-3.89E-06,14.999922,0.2400003,-0.70703334,-0.0014060822,-0.0014060689,0.70717746,-6.53E-05,-0.0020704307,0.00061981834,initial position
-3.75E-06,14.999929,0.24000028,-0.70703304,-0.0014060569,-0.0014060715,0.70717776,2.07E-05,0.0024183628,3.80E-06,initial position
-3.54E-06,14.999893,0.24000023,-0.70703304,-0.0014059443,-0.0014060197,0.70717776,4.09E-06,-0.003179996,-0.0003434448,initial position
-3.80E-06,14.999917,0.24000032,-0.70703316,-0.0014060037,-0.0014060233,0.7071777,6.09E-05,-0.0014610682,0.00030116754,initial position
-3.76E-06,14.999949,0.24000019,-0.70703316,-0.0014060222,-0.0014060689,0.7071777,-5.80E-05,0.0030658843,-0.00026174984,initial position
-3.82E-06,14.999926,0.24000026,-0.70703304,-0.0014059825,-0.0014060263,0.70717776,2.08E-05,0.0029690661,-0.000530927,initial position
-3.73E-06,14.999899,0.24000023,-0.7070331,-0.0014060067,-0.0014060305,0.7071777,4.96E-05,-0.0031833532,3.01E-05,initial position
-3.74E-06,14.999914,0.24000041,-0.707034,-0.0014060092,-0.0014060508,0.7071768,-8.09E-05,-0.0031025845,-0.00013031432,initial position
-4.01E-06,14.9999485,0.24000019,-0.70703304,-0.0014060113,-0.001406063,0.70717776,-1.41E-05,0.002849835,0.00056595134,initial position
-3.68E-06,14.9999275,0.24000026,-0.7070335,-0.0014059509,-0.0014060077,0.7071773,-1.99E-05,0.0032594074,0.00027630606,initial position
-3.76E-06,14.999897,0.24000028,-0.707034,-0.0014059729,-0.001406034,0.7071768,-4.62E-05,-0.0032990957,-0.00043343386,initial position
-3.72E-06,14.999922,0.2400003,-0.707034,-0.0014060538,-0.0014060205,0.7071768,-8.35E-05,-0.0027993205,-7.18E-05,initial position
-3.90E-06,14.999883,0.24000031,-0.7070331,-0.0014060421,-0.0014060466,0.7071777,7.99E-05,-0.0031679189,0.0004626339,initial position
-3.74E-06,14.999919,0.24000035,-0.70703405,-0.0014061138,-0.0014060566,0.70717674,-1.88E-05,0.00080926705,-0.000103723556,initial position
-3.70E-06,14.999895,0.24000031,-0.7070339,-0.0014060785,-0.0014060948,0.7071769,-6.73E-05,-0.0033456099,6.87E-06,initial position
-3.38E-06,14.99991,0.24000034,-0.7070339,-0.0014060355,-0.0014060511,0.7071769,-0.00017305693,-0.0036895776,0.00021407282,initial position
-3.38E-06,14.99991,0.24000034,-0.7070339,-0.0014060355,-0.0014060511,0.7071769,-0.00017305693,-0.0036895776,0.00021407282,initial position
-3.38E-06,14.99991,0.24000034,-0.7070339,-0.0014060355,-0.0014060511,0.7071769,-0.00017305693,-0.0036895776,0.00021407282,initial position
-3.38E-06,14.99991,0.24000034,-0.7070339,-0.0014060355,-0.0014060511,0.7071769,-0.00017305693,-0.0036895776,0.00021407282,initial position
-3.38E-06,14.99991,0.24000034,-0.7070339,-0.0014060355,-0.0014060511,0.7071769,-0.00017305693,-0.0036895776,0.00021407282,initial position
-3.38E-06,14.99991,0.24000034,-0.7070339,-0.0014060355,-0.0014060511,0.7071769,-0.00017305693,-0.0036895776,0.00021407282,initial position
-3.38E-06,14.99991,0.24000034,-0.7070339,-0.0014060355,-0.0014060511,0.7071769,-0.00017305693,-0.0036895776,0.00021407282,initial position
-3.38E-06,14.99991,0.24000034,-0.7070339,-0.0014060355,-0.0014060511,0.7071769,-0.00017305693,-0.0036895776,0.00021407282,initial position
