seq(1,ccdc146(0),1). seq(1,ccdc146(0),2). seq(1,ccdc146(1),3). seq(1,ccdc146(3),4). seq(1,ccdc146(4),5). seq(1,ccdc146(6),6). seq(1,ccdc146(7),7). seq(1,ccdc146(8),8). seq(1,ccdc146(8),9). seq(1,ccdc146(8),10). class(1,1).
seq(1,ces8(9),1). seq(1,ces8(8),2). seq(1,ces8(8),3). seq(1,ces8(6),4). seq(1,ces8(5),5). seq(1,ces8(4),6). seq(1,ces8(2),7). seq(1,ces8(1),8). seq(1,ces8(1),9). seq(1,ces8(0),10). class(1,1).

seq(2,hus1b(9),1). seq(2,hus1b(8),2). seq(2,hus1b(8),3). seq(2,hus1b(6),4). seq(2,hus1b(5),5). seq(2,hus1b(4),6). seq(2,hus1b(2),7). seq(2,hus1b(1),8). seq(2,hus1b(1),9). seq(2,hus1b(0),10). class(2,0).
seq(2,slc22a1(0),1). seq(2,slc22a1(1),2). seq(2,slc22a1(1),3). seq(2,slc22a1(3),4). seq(2,slc22a1(4),5). seq(2,slc22a1(5),6). seq(2,slc22a1(7),7). seq(2,slc22a1(8),8). seq(2,slc22a1(8),9). seq(2,slc22a1(9),10). class(2,0).
seq(2,loc100132354(9),1). seq(2,loc100132354(8),2). seq(2,loc100132354(8),3). seq(2,loc100132354(6),4). seq(2,loc100132354(5),5). seq(2,loc100132354(3),6). seq(2,loc100132354(2),7). seq(2,loc100132354(1),8). seq(2,loc100132354(1),9). seq(2,loc100132354(1),10). class(2,0).
seq(2,slc22a16(0),1). seq(2,slc22a16(1),2). seq(2,slc22a16(1),3). seq(2,slc22a16(3),4). seq(2,slc22a16(4),5). seq(2,slc22a16(5),6). seq(2,slc22a16(6),7). seq(2,slc22a16(8),8). seq(2,slc22a16(8),9). seq(2,slc22a16(9),10). class(2,0).
seq(2,abca12(9),1). seq(2,abca12(8),2). seq(2,abca12(8),3). seq(2,abca12(6),4). seq(2,abca12(5),5). seq(2,abca12(4),6). seq(2,abca12(3),7). seq(2,abca12(1),8). seq(2,abca12(1),9). seq(2,abca12(0),10). class(2,0).
seq(2,c10orf41(9),1). seq(2,c10orf41(8),2). seq(2,c10orf41(8),3). seq(2,c10orf41(7),4). seq(2,c10orf41(5),5). seq(2,c10orf41(4),6). seq(2,c10orf41(3),7). seq(2,c10orf41(2),8). seq(2,c10orf41(1),9). seq(2,c10orf41(0),10). class(2,0).
seq(2,c4orf6(9),1). seq(2,c4orf6(8),2). seq(2,c4orf6(8),3). seq(2,c4orf6(7),4). seq(2,c4orf6(5),5). seq(2,c4orf6(4),6). seq(2,c4orf6(3),7). seq(2,c4orf6(1),8). seq(2,c4orf6(1),9). seq(2,c4orf6(0),10). class(2,0).
